institution	institution_url	repository_hosts	repo_urls	our_records	our_theses	docs_online	status	match_quality
Rochester College	https://rit.edu	repository.rit.edu;scholar.rochesterregional.org;scholarworks.rit.edu;urresearch.rochester.edu	https://repository.rit.edu/;https://scholar.rochesterregional.org/;https://scholarworks.rit.edu/;https://urresearch.rochester.edu/	88234	171	0	in-census	ambiguous
Rochester Institute of Technology-Wallace Library	https://rit.edu	repository.rit.edu;scholarworks.rit.edu	https://repository.rit.edu/;https://scholarworks.rit.edu/	45586	0	0	in-census	ambiguous
Roosevelt University	https://uroosevelt.edu.pe	repositorio.uroosevelt.edu.pe	https://repositorio.uroosevelt.edu.pe/	0	0	0	in-census	unambiguous
Rosalind Franklin University of Medicine & Science				0	0	0	not-in-census	
Rose-Hulman Institute of Technology	https://rose-hulman.edu	scholar.rose-hulman.edu	https://scholar.rose-hulman.edu/	6759	8	0	in-census	unambiguous
Rowan University Graduate School	https://rowan.edu	rdw.rowan.edu	https://rdw.rowan.edu/	6863	29	0	in-census	unambiguous
Royal Roads University, Dissertations				0	0	0	not-in-census	
Royal Roads University, Masters				0	0	0	not-in-census	
Saint Louis University				0	0	0	not-in-census	
Saint Mary's College of California				0	0	0	not-in-census	
Saint Mary's College of California, MFA Program				0	0	0	not-in-census	
Saint Mary's University of Minnesota-Graduate School of Education				0	0	0	not-in-census	
Saint Peter's University				0	0	0	not-in-census	
Saint Vincent College	https://msvu.ca	dc.msvu.ca;dc.msvu.ca:8080	https://dc.msvu.ca/;https://dc.msvu.ca:8080/	0	0	0	in-census	unambiguous
Salve Regina University	https://salve.edu	digitalcommons.salve.edu;escholar.salve.edu	https://digitalcommons.salve.edu/;https://escholar.salve.edu/	13684	702	0	in-census	unambiguous
San Diego State University	https://sandiego.edu	digital.sandiego.edu	https://digital.sandiego.edu/	27976	5	0	in-census	ambiguous
San Francisco State University				0	0	0	not-in-census	
San Jose State University	https://sjsu.edu	scholarworks.sjsu.edu	https://scholarworks.sjsu.edu/	41186	12	0	in-census	unambiguous
Savannah State University				0	0	0	not-in-census	
Saybrook University				0	0	0	not-in-census	
Seattle Pacific University	https://spu.edu	digitalcommons.spu.edu	https://digitalcommons.spu.edu/	6664	120	0	in-census	unambiguous
Seton Hall University	https://shu.edu	scholarship.shu.edu	https://scholarship.shu.edu/	28305	38	0	in-census	unambiguous
Silver Lake College of the Holy Family				0	0	0	not-in-census	
Singapore Management University	https://smu.edu.sg	ink.library.smu.edu.sg	https://ink.library.smu.edu.sg/	37069	963	0	in-census	unambiguous
Sofia University (formerly Institute of Transpersonal Psychology)				0	0	0	not-in-census	
Sotheby's Institute of Art	https://sia.edu	digitalcommons.sia.edu	https://digitalcommons.sia.edu/	704	33	0	in-census	unambiguous
Southeast Missouri State University				0	0	0	not-in-census	
Southeastern Louisiana University				0	0	0	not-in-census	
Southern Baptist Theological Seminary	https://asburyseminary.edu	place.asburyseminary.edu	https://place.asburyseminary.edu/	40113	7	0	in-census	ambiguous
Southern Baptist Theological Seminary (Professional Doctoral Program)	https://asburyseminary.edu	place.asburyseminary.edu	https://place.asburyseminary.edu/	40113	7	0	in-census	ambiguous
Southern Illinois University Carbondale Graduate School	https://siu.edu	opensiuc.lib.siu.edu	https://opensiuc.lib.siu.edu/	29470	5	0	in-census	unambiguous
Southern Illinois University Edwardsville	https://siue.edu	spark.siue.edu	https://spark.siue.edu/	3511	71	0	in-census	unambiguous
Southern Methodist University	https://smu.edu	scholar.smu.edu	https://scholar.smu.edu/	19101	34	0	in-census	unambiguous
Southern Nazarene University				0	0	0	not-in-census	
Southern University and A&M College				0	0	0	not-in-census	
Southwestern College	https://swosu.edu	dc.swosu.edu;digitalcommons.fsw.edu;utswmed-ir.tdl.org	https://dc.swosu.edu/;https://digitalcommons.fsw.edu/;https://utswmed-ir.tdl.org/	40823	2126	0	in-census	ambiguous
Spalding University				0	0	0	not-in-census	
St. John Fisher College	https://sjf.edu	fisherpub.sjf.edu	https://fisherpub.sjf.edu/	7627	2	0	in-census	unambiguous
St. Mary's Seminary & University				0	0	0	not-in-census	
St. Mary's University of San Antonio-Graduate School				0	0	0	not-in-census	
St. Thomas University	https://jefferson.edu	jdc.jefferson.edu;scholarship.stu.edu;intranet.thomasdanby.ac.uk;ir.stthomas.edu	https://jdc.jefferson.edu/;https://scholarship.stu.edu/;https://intranet.thomasdanby.ac.uk/;https://ir.stthomas.edu/	29959	121	0	in-census	ambiguous
Stevens Institute of Technology				0	0	0	not-in-census	
Stony Brook University	https://stonybrook.edu	commons.library.stonybrook.edu	https://commons.library.stonybrook.edu/	15494	1	0	in-census	unambiguous
Sul Ross State University				0	0	0	not-in-census	
Sullivan University				0	0	0	not-in-census	
SUNY College of Environmental Science & Forestry				0	0	0	not-in-census	
Syracuse University	https://syr.edu	surface.syr.edu	https://surface.syr.edu/	21245	0	0	in-census	unambiguous
Tarleton State University				0	0	0	not-in-census	
Teachers College, Columbia University				0	0	0	not-in-census	
Temple University-Graduate School				0	0	0	not-in-census	
Tennessee State University				0	0	0	not-in-census	
Tennessee Technological University-Office of Research and Graduate Studies				0	0	0	not-in-census	
TERI University				0	0	0	not-in-census	
Texas A&M International University-Sue & Radcliffe Killam Library				0	0	0	not-in-census	
Texas A&M University - Corpus Christi	https://tdl.org	tamucc-ir.tdl.org	https://tamucc-ir.tdl.org/	36275	0	0	in-census	unambiguous
Texas A&M University - Kingsville				0	0	0	not-in-census	
Texas A&M University System Health Science Center College				0	0	0	not-in-census	
of Medicine				0	0	0	not-in-census	
Texas A&M University-Commerce				0	0	0	not-in-census	
Texas Christian University				0	0	0	not-in-census	
Texas Wesleyan University				0	0	0	not-in-census	
Texas Woman's University	https://twu.edu	poar.twu.edu	https://poar.twu.edu/	0	0	0	in-census	unambiguous
The Catholic University of America	https://law.edu	scholarship.law.edu	https://scholarship.law.edu/	6092	0	0	in-census	unambiguous
The Chicago School of Professional Psychology				0	0	0	not-in-census	
The George Washington University				0	0	0	not-in-census	
The Hong Kong Institute of Education				0	0	0	not-in-census	
The Institute for the Psychological Sciences				0	0	0	not-in-census	
The New School				0	0	0	not-in-census	
The Sage Colleges				0	0	0	not-in-census	
The Texas A&M University System Health Science Center: School				0	0	0	not-in-census	
of Rural Public Health				0	0	0	not-in-census	
The University of Alabama Graduate School				0	0	0	not-in-census	
The University of Chicago				0	0	0	not-in-census	
The University of Texas at Dallas	https://utdallas.edu	libtreasures.utdallas.edu	https://libtreasures.utdallas.edu/	0	0	0	in-census	unambiguous
The Weizmann Institute of Science (Israel)				0	0	0	not-in-census	
Thomas Jefferson University	https://jefferson.edu	jdc.jefferson.edu	https://jdc.jefferson.edu/	28494	121	0	in-census	ambiguous
Towson University				0	0	0	not-in-census	
Trent University	https://ntu.ac.uk	irep.ntu.ac.uk;ntu-repository.worktribe.com	https://irep.ntu.ac.uk/;https://ntu-repository.worktribe.com/	109081	5062	0	in-census	unambiguous
Trevecca Nazarene University - Counseling Program				0	0	0	not-in-census	
Trevecca Nazarene University - School of Education				0	0	0	not-in-census	
Trinity International University				0	0	0	not-in-census	
Trinity Western University				0	0	0	not-in-census	
Truman State University				0	0	0	not-in-census	
Tsinghua University				0	0	0	not-in-census	
Tufts University (Graduate Studies Arts, Sciences and Engineering)				0	0	0	not-in-census	
Tufts University (The Fletcher School of Law and Diplomacy)				0	0	0	not-in-census	
Tufts University School of Dental Medicine				0	0	0	not-in-census	
Tufts University-Friedman School of Nutrition Science and Policy				0	0	0	not-in-census	
Tufts University-Sackler School of Graduate Biomedical Sciences				0	0	0	not-in-census	
Tulane School of Public Health and Tropical Medicine				0	0	0	not-in-census	
Tulane School of Science and Engineering				0	0	0	not-in-census	
Tulane University- Graduate Program in Biomedical Sciences				0	0	0	not-in-census	
Tulane University Law School				0	0	0	not-in-census	
Tulane University School of Liberal Arts	https://nii.ac.jp	dwcla.repo.nii.ac.jp;digitalarchives.colby.edu	https://dwcla.repo.nii.ac.jp/;https://digitalarchives.colby.edu/	2502	0	0	in-census	unambiguous
UCLA School of Law				0	0	0	not-in-census	
Union Institute & University	https://eudl.eu	eudl.eu;pam.mathdir.org;alcme.oclc.org	https://eudl.eu/;https://pam.mathdir.org/;https://alcme.oclc.org/	0	0	0	in-census	unambiguous
Universidad de Castilla-La Mancha	https://uclm.es	ruidera.uclm.es;clip.jccm.es	https://ruidera.uclm.es/;https://clip.jccm.es/	26267	164	0	in-census	unambiguous
Universidad de Deusto	https://deusto.es	deustoteka.deusto.es;loyola.biblioteca.deusto.es;papers.ssrn.com	https://deustoteka.deusto.es/;https://loyola.biblioteca.deusto.es/;https://papers.ssrn.com/	9222	62	0	in-census	unambiguous
Universidad del Turabo, Doctoral Studies Center				0	0	0	not-in-census	
Universidad del Turabo, School of Science and Technology				0	0	0	not-in-census	
Universidad Internacional de la Rioja				0	0	0	not-in-census	
Universidad Politecnica de Cartagena				0	0	0	not-in-census	
Universitat de València				0	0	0	not-in-census	
Université du Québec en Abitibi-Témiscamingue				0	0	0	not-in-census	
University at Albany, SUNY				0	0	0	not-in-census	
University at Buffalo/SUNY Graduate School	https://buffalostate.edu	digitalcommons.buffalostate.edu	https://digitalcommons.buffalostate.edu/	19425	2	0	in-census	unambiguous
University College Dublin				0	0	0	not-in-census	
University College of the Cayman Islands				0	0	0	not-in-census	
University of Advancing Technology				0	0	0	not-in-census	
University of Alabama at Birmingham	https://uab.edu	digitalcommons.library.uab.edu	https://digitalcommons.library.uab.edu/	36598	7717	0	in-census	unambiguous
University of Alabama in Huntsville	https://uah.edu	louis.uah.edu	https://louis.uah.edu/	8864	953	0	in-census	unambiguous
University of Alaska Anchorage				0	0	0	not-in-census	
University of Alaska Fairbanks				0	0	0	not-in-census	
University of Arizona Graduate College				0	0	0	not-in-census	
University of Arkansas at Little Rock	https://ualr.edu	research.ualr.edu	https://research.ualr.edu/	3259	1345	0	in-census	ambiguous
University of Arkansas for Medical Sciences				0	0	0	not-in-census	
University of Arkansas-Fayetteville	https://uark.edu	scholarworks.uark.edu	https://scholarworks.uark.edu/	24168	91	0	in-census	ambiguous
University of Baltimore	https://gbmc.org	scholarlycommons.gbmc.org;scholarworks.law.ubalt.edu	https://scholarlycommons.gbmc.org/;https://scholarworks.law.ubalt.edu/	5855	1	0	in-census	unambiguous
University of Bath	https://bathspa.ac.uk	researchspace.bathspa.ac.uk;researchportal.bath.ac.uk	https://researchspace.bathspa.ac.uk/;https://researchportal.bath.ac.uk/	12707	327	0	in-census	unambiguous
University of California at Berkeley, Graduate Division	https://ucanr.edu	ucanr.edu	https://ucanr.edu/	0	0	0	in-census	unambiguous
University of California at Davis				0	0	0	not-in-census	
University of California at San Diego	https://sandiego.edu	digital.sandiego.edu	https://digital.sandiego.edu/	27976	5	0	in-census	ambiguous
University of California, Irvine				0	0	0	not-in-census	
University of California, Los Angeles				0	0	0	not-in-census	
University of California, Merced				0	0	0	not-in-census	
University of California, Riverside				0	0	0	not-in-census	
University of California, San Francisco - Graduate Division				0	0	0	not-in-census	
University of California, Santa Barbara				0	0	0	not-in-census	
University of California, Santa Cruz				0	0	0	not-in-census	
University of Central Arkansas				0	0	0	not-in-census	
University of Central Oklahoma-Jackson College of Graduate Studies & Research				0	0	0	not-in-census	
University of Charleston				0	0	0	not-in-census	
University of Cincinnati	https://uc.edu	scholarship.law.uc.edu;drc.libraries.uc.edu;cincinnatimemory.org	https://scholarship.law.uc.edu/;https://drc.libraries.uc.edu/;https://cincinnatimemory.org/	608113	1	0	in-census	unambiguous
University of Colorado at Boulder	https://colorado.edu	scholar.colorado.edu	https://scholar.colorado.edu/	0	0	0	in-census	unambiguous
University of Colorado at Colorado Springs				0	0	0	not-in-census	
University of Colorado at Denver, Anschutz Medical Campus				0	0	0	not-in-census	
University of Colorado Denver				0	0	0	not-in-census	
University of Delaware, Office of Graduate Studies				0	0	0	not-in-census	
University of Denver	https://du.edu	digitalcommons.du.edu	https://digitalcommons.du.edu/	21935	0	0	in-census	unambiguous
University of Detroit Mercy	https://udmercy.edu	research.udmercy.edu	https://research.udmercy.edu/	0	0	0	in-census	unambiguous
University of Hartford				0	0	0	not-in-census	
University of Hawaii at Hilo				0	0	0	not-in-census	
University of Idaho - College of Graduate Studies				0	0	0	not-in-census	
University of Illinois at Springfield				0	0	0	not-in-census	
University of Iowa Graduate College	https://nwciowa.edu	nwcommons.nwciowa.edu;scholarworks.uni.edu;lib.dr.iastate.edu;publications.iowa.gov	https://nwcommons.nwciowa.edu/;https://scholarworks.uni.edu/;https://lib.dr.iastate.edu/;https://publications.iowa.gov/	174279	39484	0	in-census	ambiguous
University of Kansas				0	0	0	not-in-census	
University of La Verne	https://archives-ouvertes.fr	hal-u-picardie.archives-ouvertes.fr	https://hal-u-picardie.archives-ouvertes.fr/	0	0	0	in-census	unambiguous
University of Lethbridge	https://uleth.ca	uleth.ca	https://uleth.ca/	0	0	0	in-census	unambiguous
University of Louisiana at Lafayette	https://louisiana.edu	scholarshub.louisiana.edu	https://scholarshub.louisiana.edu/	365	45	0	in-census	unambiguous
University of Maribor	https://um.si	dk.um.si	https://dk.um.si/	0	0	0	in-census	unambiguous
University of Maryland at Baltimore				0	0	0	not-in-census	
University of Maryland, Baltimore County				0	0	0	not-in-census	
University of Maryland, College Park	https://umd.edu	drum.lib.umd.edu	https://drum.lib.umd.edu/	0	0	0	in-census	ambiguous
University of Maryland, University College	https://umaryland.edu	digitalcommons.law.umaryland.edu;digital.lib.umd.edu;drum.umd.edu;drum.lib.umd.edu	https://digitalcommons.law.umaryland.edu/;https://digital.lib.umd.edu/;https://drum.umd.edu/;https://drum.lib.umd.edu/	9835	0	0	in-census	ambiguous
University of Massachusetts Amherst	https://ethicslibrary.org	ethicslibrary.org;scholarworks.umass.edu	https://ethicslibrary.org/;https://scholarworks.umass.edu/	0	0	0	in-census	unambiguous
University of Massachusetts at Boston	https://umb.edu	scholarworks.umb.edu	https://scholarworks.umb.edu/	8861	3	0	in-census	ambiguous
University of Miami	https://miami.edu	repository.law.miami.edu;scholarlyrepository.miami.edu;sc.lib.muohio.edu;scholarship.miami.edu	https://repository.law.miami.edu/;https://scholarlyrepository.miami.edu/;https://sc.lib.muohio.edu/;https://scholarship.miami.edu/	8802	0	0	in-census	unambiguous
University of Minnesota, Graduate School				0	0	0	not-in-census	
University of Mississippi				0	0	0	not-in-census	
University of Missouri St. Louis	https://umsl.edu	irl.umsl.edu	https://irl.umsl.edu/	12298	1577	0	in-census	unambiguous
University of Missouri-Kansas City	https://umkc.edu	irlaw.umkc.edu	https://irlaw.umkc.edu/	1329	0	0	in-census	unambiguous
University of Montana	https://mtech.edu	digitalcommons.mtech.edu;scholarworks.umt.edu;scholarship.law.umt.edu	https://digitalcommons.mtech.edu/;https://scholarworks.umt.edu/;https://scholarship.law.umt.edu/	118792	13161	0	in-census	ambiguous
University of Nebraska at Omaha	https://unomaha.edu	digitalcommons.unomaha.edu	https://digitalcommons.unomaha.edu/	21549	1	0	in-census	unambiguous
University of Nebraska-Kearney-Graduate Studies and Research	https://unk.edu	openspaces.unk.edu	https://openspaces.unk.edu/	2487	47	0	in-census	unambiguous
University of Nebraska-Lincoln	https://unl.edu	digitalcommons.unl.edu;contentdm.unl.edu	https://digitalcommons.unl.edu/;https://contentdm.unl.edu/	141918	99	0	in-census	unambiguous
University of Nevada, Las Vegas	https://unlv.edu	oasis.library.unlv.edu;scholars.law.unlv.edu;digitalcommons.library.unlv.edu	https://oasis.library.unlv.edu/;https://scholars.law.unlv.edu/;https://digitalcommons.library.unlv.edu/	31651	379	0	in-census	unambiguous
University of Nevada-Reno Graduate School	https://unr.edu	scholarwolf.unr.edu	https://scholarwolf.unr.edu/	8607	5913	0	in-census	unambiguous
University of New Mexico, Albuquerque	https://nmsu.edu	digitalcommons.nmsu.edu;digitalrepository.unm.edu;dspace.nmt.edu;repository.unm.edu	https://digitalcommons.nmsu.edu/;https://digitalrepository.unm.edu/;https://dspace.nmt.edu/;https://repository.unm.edu/	154541	171	0	in-census	unambiguous
University of New Orleans	https://uno.edu	scholarworks.uno.edu;louisdl.louislibraries.org	https://scholarworks.uno.edu/;https://louisdl.louislibraries.org/	7542	116	0	in-census	unambiguous
University of North Carolina at Chapel Hill Graduate School	https://unc.edu	cdr.lib.unc.edu	https://cdr.lib.unc.edu/	0	0	0	in-census	ambiguous
University of North Carolina at Chapel Hill School of Education	https://unc.edu	cdr.lib.unc.edu	https://cdr.lib.unc.edu/	0	0	0	in-census	ambiguous
University of North Carolina at Charlotte	https://charlotte.edu	ninercommons.charlotte.edu	https://ninercommons.charlotte.edu/	5109	4210	0	in-census	unambiguous
University of North Carolina at Greensboro	https://uncg.edu	libres.uncg.edu	https://libres.uncg.edu/	38975	0	0	in-census	unambiguous
University of North Dakota	https://und.edu	commons.und.edu;digitalcommons.ndsu.edu;library.ndsu.edu	https://commons.und.edu/;https://digitalcommons.ndsu.edu/;https://library.ndsu.edu/	53139	127	0	in-census	ambiguous
University of North Texas Health Science Center at Fort				0	0	0	not-in-census	
Worth-Graduate School of Biomedical Sciences	https://jelsciences.com	jelsciences.com;healerjournal.com	https://jelsciences.com/;https://healerjournal.com/	1189	0	0	in-census	ambiguous
Worth-School of Public Health				0	0	0	not-in-census	
University of Northern Colorado				0	0	0	not-in-census	
University of Oklahoma, Graduate College	https://swosu.edu	dc.swosu.edu;digitalcommons.law.ou.edu;shareok.org;library.okstate.edu	https://dc.swosu.edu/;https://digitalcommons.law.ou.edu/;https://shareok.org/;https://library.okstate.edu/	68113	320	0	in-census	ambiguous
University of Oregon	https://uoregon.edu	scholarsbank.uoregon.edu;digitalcommons.wou.edu;ir.library.oregonstate.edu	https://scholarsbank.uoregon.edu/;https://digitalcommons.wou.edu/;https://ir.library.oregonstate.edu/	30108	5260	0	in-census	unambiguous
University of Ottawa	https://uottawa.ca	ruor.uottawa.ca	https://ruor.uottawa.ca/	37020	24930	0	in-census	unambiguous
University of Pennsylvania, Graduate Division of Arts and Sciences				0	0	0	not-in-census	
University of Pennsylvania, Graduate School of Education				0	0	0	not-in-census	
University of Petra - Jordan				0	0	0	not-in-census	
University of Puerto Rico at Rio Piedras	https://upr.edu	repositorio.upr.edu	https://repositorio.upr.edu/	5914	4820	0	in-census	ambiguous
University of Puerto Rico, Mayaguez	https://upr.edu	repositorio.upr.edu	https://repositorio.upr.edu/	5914	4820	0	in-census	ambiguous
University of Redlands	https://redlands.edu	inspire.redlands.edu	https://inspire.redlands.edu/	0	0	0	in-census	unambiguous
University of Rhode Island	https://risd.edu	digitalcommons.risd.edu;digitalcommons.uri.edu;digitalcommons.ric.edu	https://digitalcommons.risd.edu/;https://digitalcommons.uri.edu/;https://digitalcommons.ric.edu/	75127	276	0	in-census	unambiguous
University of Rochester	https://rit.edu	repository.rit.edu;scholar.rochesterregional.org;scholarworks.rit.edu;urresearch.rochester.edu	https://repository.rit.edu/;https://scholar.rochesterregional.org/;https://scholarworks.rit.edu/;https://urresearch.rochester.edu/	88234	171	0	in-census	ambiguous
University of Saint Joseph	https://usj.edu.lb	e-journals.usj.edu.lb;scholarship.sju.edu	https://e-journals.usj.edu.lb/;https://scholarship.sju.edu/	1180	0	0	in-census	unambiguous
University of Saint Mary of the Lake Mundelein Seminary				0	0	0	not-in-census	
University of San Francisco				0	0	0	not-in-census	
University of Sarajevo, School of Economics and Business				0	0	0	not-in-census	
University of South Alabama				0	0	0	not-in-census	
University of South Carolina				0	0	0	not-in-census	
University of South Dakota	https://sdstate.edu	openprairie.sdstate.edu;red.library.usd.edu	https://openprairie.sdstate.edu/;https://red.library.usd.edu/	40974	341	0	in-census	unambiguous
University of South Florida				0	0	0	not-in-census	
University of Southern California				0	0	0	not-in-census	
University of Southern Maine				0	0	0	not-in-census	
University of St. Francis	https://umaryland.edu	digitalcommons.law.umaryland.edu;dspace.sfit.co.in	https://digitalcommons.law.umaryland.edu/;https://dspace.sfit.co.in/	9835	0	0	in-census	ambiguous
University of Surrey	https://surrey.ac.uk	epubs.surrey.ac.uk	https://epubs.surrey.ac.uk/	0	0	0	in-census	unambiguous
University of Tennessee at Chattanooga Graduate School	https://utc.edu	scholar.utc.edu;digital-collections.library.utc.edu	https://scholar.utc.edu/;https://digital-collections.library.utc.edu/	5187	699	0	in-census	unambiguous
University of Tennessee Health Science Center-College of Graduate				0	0	0	not-in-census	
Health Sciences				0	0	0	not-in-census	
University of Texas at Arlington, Graduate School	https://uta.edu	mavmatrix.uta.edu	https://mavmatrix.uta.edu/	166617	38	0	in-census	unambiguous
University of Texas at El Paso, Graduate School	https://utep.edu	scholarworks.utep.edu;digitalcommons.utep.edu	https://scholarworks.utep.edu/;https://digitalcommons.utep.edu/	54876	0	0	in-census	unambiguous
University of Texas at San Antonio-The Graduate School				0	0	0	not-in-census	
University of Texas Health Science Center at Houston School of Dentistry				0	0	0	not-in-census	
University of Texas Health Science Center-Graduate School of				0	0	0	not-in-census	
Biomedical Sciences	https://jelsciences.com	jelsciences.com;healerjournal.com	https://jelsciences.com/;https://healerjournal.com/	1189	0	0	in-census	ambiguous
University of Texas School of Biomedical Informatics at Houston				0	0	0	not-in-census	
University of Texas, School of Public Health at Houston				0	0	0	not-in-census	
University of Texas-Pan American	https://paho.org	devserver.paho.org:8080	https://devserver.paho.org:8080/	0	0	0	in-census	unambiguous
University of the Arts				0	0	0	not-in-census	
University of the Incarnate Word	https://uiw.edu	athenaeum.uiw.edu	https://athenaeum.uiw.edu/	832	481	0	in-census	unambiguous
University of the Pacific				0	0	0	not-in-census	
University of the Rockies				0	0	0	not-in-census	
University of the West				0	0	0	not-in-census	
University of Toledo	https://utoledo.edu	canadaycenter.utoledo.edu;utdr.utoledo.edu	https://canadaycenter.utoledo.edu/;https://utdr.utoledo.edu/	12607	0	0	in-census	unambiguous
University of Toledo - Health Science Campus				0	0	0	not-in-census	
University of Toronto	https://utoronto.ca	tspace.library.utoronto.ca;eprints.utsc.utoronto.ca	https://tspace.library.utoronto.ca/;https://eprints.utsc.utoronto.ca/	125131	0	0	in-census	unambiguous
University of Tulsa	https://utulsa.edu	digitalcommons.law.utulsa.edu	https://digitalcommons.law.utulsa.edu/	3422	0	0	in-census	unambiguous
University of Utah	https://utah.edu	dc.law.utah.edu;digitalcommons.usu.edu;uspace.utah.edu;lib.utah.edu	https://dc.law.utah.edu/;https://digitalcommons.usu.edu/;https://uspace.utah.edu/;https://lib.utah.edu/	104663	7	0	in-census	ambiguous
University of Vermont	https://uvm.edu	scholarworks.uvm.edu	https://scholarworks.uvm.edu/	10472	3268	0	in-census	unambiguous
University of Washington				0	0	0	not-in-census	
University of West Florida				0	0	0	not-in-census	
University of Windsor	https://uwindsor.ca	scholar.uwindsor.ca	https://scholar.uwindsor.ca/	0	0	0	in-census	unambiguous
University of Wisconsin-Madison				0	0	0	not-in-census	
University of Wisconsin-Milwaukee	https://uwm.edu	dc.uwm.edu	https://dc.uwm.edu/	0	0	0	in-census	unambiguous
University of Wyoming	https://uwyo.edu	scholarship.law.uwyo.edu;repository.uwyo.edu	https://scholarship.law.uwyo.edu/;https://repository.uwyo.edu/	2593	0	0	in-census	unambiguous
Utah State University	https://utah.edu	dc.law.utah.edu;digitalcommons.usu.edu;uspace.utah.edu;lib.utah.edu	https://dc.law.utah.edu/;https://digitalcommons.usu.edu/;https://uspace.utah.edu/;https://lib.utah.edu/	104663	7	0	in-census	ambiguous
Utica College				0	0	0	not-in-census	
Villanova University College of Engineering				0	0	0	not-in-census	
Villanova University Graduate Studies, College of Liberal Arts				0	0	0	not-in-census	
and Sciences				0	0	0	not-in-census	
Villanova University-College of Nursing				0	0	0	not-in-census	
Virginia Commonwealth University	https://vcu.edu	scholarscompass.vcu.edu	https://scholarscompass.vcu.edu/	56771	6	0	in-census	unambiguous
Wake Forest University	https://wfu.edu	wakespace.lib.wfu.edu	https://wakespace.lib.wfu.edu/	73695	0	0	in-census	unambiguous
Walden University	https://waldenu.edu	scholarworks.waldenu.edu	https://scholarworks.waldenu.edu/	22509	39	0	in-census	unambiguous
Walsh College				0	0	0	not-in-census	
Washington State University				0	0	0	not-in-census	
Washington University in St. Louis				0	0	0	not-in-census	
Wayne State University Graduate School	https://wayne.edu	digitalcommons.wayne.edu;opus.ipfw.edu	https://digitalcommons.wayne.edu/;https://opus.ipfw.edu/	21993	15	0	in-census	ambiguous
Webster University				0	0	0	not-in-census	
West Virginia University				0	0	0	not-in-census	
Western Carolina University, Graduate School				0	0	0	not-in-census	
Western Connecticut State University	https://wcsu.edu	westcollections.wcsu.edu;repository.wcsu.edu	https://westcollections.wcsu.edu/;https://repository.wcsu.edu/	2939	0	0	in-census	unambiguous
Western Illinois University				0	0	0	not-in-census	
Western Mindanao State University				0	0	0	not-in-census	
Western New England University	https://wne.edu	digitalcommons.wne.edu;dune.une.edu;rune.edu.edu.au;digitalcommons.law.wne.edu	https://digitalcommons.wne.edu/;https://dune.une.edu/;https://rune.edu.edu.au/;https://digitalcommons.law.wne.edu/	54944	2725	0	in-census	ambiguous
Western University of Health Sciences				0	0	0	not-in-census	
Wheaton College				0	0	0	not-in-census	
Wilkes University				0	0	0	not-in-census	
William Paterson University				0	0	0	not-in-census	
Wilmington University				0	0	0	not-in-census	
Winebrenner Theological Seminary	https://asburyseminary.edu	place.asburyseminary.edu;dspace.lancasterseminary.edu;ir.taitheo.org.tw:8080;digitalcommons.fuller.edu	https://place.asburyseminary.edu/;https://dspace.lancasterseminary.edu/;https://ir.taitheo.org.tw:8080/;https://digitalcommons.fuller.edu/	40113	7	0	in-census	ambiguous
Wingate University				0	0	0	not-in-census	
Winthrop University	https://winthrop.edu	digitalcommons.winthrop.edu	https://digitalcommons.winthrop.edu/	16453	37	0	in-census	unambiguous
Yale School of Medicine	https://yale.edu	cushing.med.yale.edu;ymtdl.med.yale.edu	https://cushing.med.yale.edu/;https://ymtdl.med.yale.edu/	0	0	0	in-census	unambiguous
Yale University School of Nursing				0	0	0	not-in-census	
Yale University School of Public Health				0	0	0	not-in-census	
